file,volume
D:\\FINANCE PROJECTS\\DATASETS\\archive\HYUNDAI_minute.csv,5893075.325257631
D:\\FINANCE PROJECTS\\DATASETS\\archive\ICICIBANK_minute.csv,26949527.49493617
D:\\FINANCE PROJECTS\\DATASETS\\archive\ICICIGI_minute.csv,2500966.4309113347
D:\\FINANCE PROJECTS\\DATASETS\\archive\ICICIPRULI_minute.csv,2381902.0225331257
D:\\FINANCE PROJECTS\\DATASETS\\archive\IDBI_minute.csv,1694648.256615381
D:\\FINANCE PROJECTS\\DATASETS\\archive\IDEA_minute.csv,7649820.9603662
D:\\FINANCE PROJECTS\\DATASETS\\archive\IDFCFIRSTB_minute.csv,3825149.874664334
D:\\FINANCE PROJECTS\\DATASETS\\archive\IEX_minute.csv,3458355.0217114408
D:\\FINANCE PROJECTS\\DATASETS\\archive\IFCI_minute.csv,1022628.2840019219
D:\\FINANCE PROJECTS\\DATASETS\\archive\IGIL_minute.csv,2125904.925266316
D:\\FINANCE PROJECTS\\DATASETS\\archive\IGL_minute.csv,2424906.3934164797
D:\\FINANCE PROJECTS\\DATASETS\\archive\IIFL_minute.csv,864050.8627136492
D:\\FINANCE PROJECTS\\DATASETS\\archive\IKS_minute.csv,1744470.6980830517
D:\\FINANCE PROJECTS\\DATASETS\\archive\INDGN_minute.csv,1277817.7310315114
D:\\FINANCE PROJECTS\\DATASETS\\archive\INDHOTEL_minute.csv,2444309.21677762
D:\\FINANCE PROJECTS\\DATASETS\\archive\INDIACEM_minute.csv,1743670.9812033165
D:\\FINANCE PROJECTS\\DATASETS\\archive\INDIAMART_minute.csv,1579963.0113044751
D:\\FINANCE PROJECTS\\DATASETS\\archive\INDIANB_minute.csv,1404703.2009401708
D:\\FINANCE PROJECTS\\DATASETS\\archive\INDIGO_minute.csv,6916527.664384771
D:\\FINANCE PROJECTS\\DATASETS\\archive\INDUSINDBK_minute.csv,12416318.632964917
D:\\FINANCE PROJECTS\\DATASETS\\archive\INDUSTOWER_minute.csv,5022904.8543615565
D:\\FINANCE PROJECTS\\DATASETS\\archive\INFY_minute.csv,21211336.887177773
D:\\FINANCE PROJECTS\\DATASETS\\archive\INOXINDIA_minute.csv,1034670.4066073734
D:\\FINANCE PROJECTS\\DATASETS\\archive\INOXWIND_minute.csv,1034978.738500385
D:\\FINANCE PROJECTS\\DATASETS\\archive\INTELLECT_minute.csv,796378.387952261
D:\\FINANCE PROJECTS\\DATASETS\\archive\IOB_minute.csv,947220.9794536801
D:\\FINANCE PROJECTS\\DATASETS\\archive\IOC_minute.csv,4039968.4842669666
D:\\FINANCE PROJECTS\\DATASETS\\archive\IPCALAB_minute.csv,1019113.116546292
D:\\FINANCE PROJECTS\\DATASETS\\archive\IRB_minute.csv,1752497.661570132
D:\\FINANCE PROJECTS\\DATASETS\\archive\IRCON_minute.csv,2708721.8676215056
D:\\FINANCE PROJECTS\\DATASETS\\archive\IRCTC_minute.csv,6147476.774783591
D:\\FINANCE PROJECTS\\DATASETS\\archive\IREDA_minute.csv,11147293.20136402
D:\\FINANCE PROJECTS\\DATASETS\\archive\IRFC_minute.csv,8995622.559922265
D:\\FINANCE PROJECTS\\DATASETS\\archive\ITCHOTELS_minute.csv,3083228.395352225
D:\\FINANCE PROJECTS\\DATASETS\\archive\ITC_minute.csv,12124329.411374906
D:\\FINANCE PROJECTS\\DATASETS\\archive\ITI_minute.csv,1157223.5621993334
D:\\FINANCE PROJECTS\\DATASETS\\archive\JBCHEPHARM_minute.csv,435941.24327901035
D:\\FINANCE PROJECTS\\DATASETS\\archive\JBMA_minute.csv,572334.0572331247
